"dblp","acm"
"conf/sigmod/ChenCPPSTM00","335466"
"conf/sigmod/RundensteinerKZWLLN99","304574"
"conf/sigmod/KanthRSB99","304240"
"conf/sigmod/TsurUACMNR98","276306"
"conf/sigmod/BaruFGHJPW95","223876"
"conf/sigmod/LiBKN03","872820"
"journals/sigmod/RossGN03","641001"
"journals/sigmod/Kemper02","507354"
"journals/sigmod/SellisV95","219766"
"journals/sigmod/BarbaraBFLS94","187455"
"journals/sigmod/JensenCEGHJ94","181560"
"journals/vldb/JagadishACLNPPSWWY02","764201"
"journals/sigmod/Geller02","507355"
"journals/sigmod/BerzalM02","565130"
"journals/sigmod/Grefen02","507356"
"conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99","304239"
"journals/sigmod/ButtlerCCFHLPRX02","637421"

